AP2;NULL
Auxin_resp;PF06507
B3;PF02362
WRKY;PF03106
Alfin-like;NULL
Homeobox;PF00046
zf-TAZ;PF02135
PHD;PF00628
Piwi;PF02171
PAZ;PF02170
ARID;PF01388
bZIP_1;PF00170
bZIP_2;PF07716
DUF260;PF03195
HLH;PF00010
AUX_IAA;PF02309
GAGA_bind;PF06217
BES1_N;PF05687
TCP;PF03634
TF_AP-2;PF03299
BSD;PF03909
bZIP_AUREO;NULL
bZIP_CDD;NULL
CCT;PF06203
GATA;PF00320
tify;PF06200
PLATZ;PF04640
zf-B_box;PF00643
zf-Dof;PF02701
YABBY;PF04690
zf-C2H2;PF00096
zf-MIZ;PF02891
SRF-TF;PF00319
two_or_more_Myb_DNA-binding;PF00249
zf-CCCH;PF00642
CG-1;PF03859
IQ;PF00612
CCAAT-Dr1_Domain;NULL
NF-YB;NULL
NF-YC;NULL
CBFB_NFYA;PF02045
HMG_box;PF00505
PC4;PF02229
TCR;PF03638
CSD;PF00313
STAT_bind;PF02864
SH2;PF00017
DNC;NULL
PP2C;PF00481
DDT;PF02791
DEAD;PF00270
Helicase_C;PF00271
Ribonuclease_3;PF00636
dsrm;PF00035
O-FucT;PF10250
DUF296;PF03479
DUF547;PF04784
DUF632;PF04782
TANGO2;PF05742
E2F_TDP;PF02319
EIN3;PF04873
FHA;PF00498
G2-like_Domain;NULL
Response_reg;PF00072
Myb_DNA-binding;PF00249
DUF573;PF04504
SSXT;PF05030
Acetyltransf_1;PF00583
GRAS;PF03514
QLQ;PF08880
WRC;PF08879
HALZ;PF02183
START;PF01852
MEKHLA;PF08670
ZF-HD_dimer;PF04770
WOX_HD;NULL
WHIM1;PF15612
WSD;PF15613
PINTOX;NULL
BEL;NULL
KNOX1;PF03790
KNOX2;PF03791
KNOXC;NULL
HRT;NULL
HSF_DNA-bind;PF00447
Med26;PF08711
JmjC;PF02373
JmjN;PF02375
zf-C5HC2;PF02928
FYRN;PF05964
FYRC;PF05965
FLO_LFY;PF01698
two_or_more_LIM;PF00412
LUFS_Domain;NULL
K-box;PF01486
MBF1;PF08523
Med6;PF04934
Med7;PF05983
mTERF;PF02536
trihelix;NULL
NAM;PF02365
NOZZLE;NULL
Ovate;PF04844
CXC;NULL
SET;PF00856
FIE_clipped_for_HMM;NULL
WD40;PF00400
VEFS-Box;PF09733
CAF1C_H4-bd;PF12265
SWIB;PF02201
RB_B;PF01857
Rcd1;PF04078
RHD_DNA_bind;PF00554
RFX_DNA_binding;PF02257
RRN3;PF05327
Runt;PF00853
RWP-RK;PF02042
S1FA;PF04689
STER_AP;NULL
SBP;PF03110
Sigma70_r2;PF04542
Sigma70_r3;PF04539
Sigma70_r4;PF04545
PAH;PF02671
SIR2;PF02146
Med31;PF05669
DUF702;PF05142
SNF2_N;PF00176
SWIRM;PF04433
TEA;PF01285
Tfb2;PF03849
BTB;PF00651
Tub;PF01167
ULT_Domain;NULL
VARL;NULL
VOZ_Domain;NULL
Whirly;PF08536
zf-AN1;PF01428
zf-ZPR1;PF03367
Zn_clus;PF00172
