OSTTA;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Ostreococcus tauri;3625
OSTSP;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Ostreococcus sp. RCC809;37682
VOLCA;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Volvox carteri;56636
GONPE;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Volvocaceae;Gonium pectorale;228871
OSTLU;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Ostreococcus lucimarinus;228872
VITVI;Archaeplastida;eudicots;rosids;Vitales;Vitaceae;Vitis vinifera;228873
BOEST;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Boechera stricta;228874
CAPGR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Capsella grandiflora;228875
CAPRU;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Capsella rubella;228876
SALPU;Archaeplastida;eudicots;rosids;Malpighiales;Salicaceae;Volyocaceae;228877
THEHA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Thellungiella halophila;228878
NICBE;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Nicotiana benthamiana;228879
ACTCH;Archaeplastida;eudicots;asterids;Ericales;Actinidiaceae;Actinidia chinensis;228880
COFCA;Archaeplastida;eudicots;asterids;Gentianales;Rubiaceae;Coffea canephora;228881
MIMGU;Archaeplastida;eudicots;asterids;Lamiales;Phrymaceae;Mimulus guttatus;228882
SOLLY;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Volyocaceae;228883
SOLME;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum melongena;228884
SOLTU;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum tuberosum;228885
UTRGI;Archaeplastida;eudicots;asterids;Lamiales;Lentibulariaceae;Utricularia gibba;228886
SOLPE;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Solanum pennellii;228887
CAPANCM;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Capsicum annuum CM344;228888
CAPANGL;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Capsicum annuum (spp. glabriusculum);228889
CAPANZU;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Capsicum annuum (spp. zunla);228890
CAMSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Camelina sativa;228891
CITCL;Archaeplastida;eudicots;rosids;Sapindales;Rutaceae;Citrus clementina;228892
CITSI;Archaeplastida;eudicots;rosids;Sapindales;Rutaceae;Citrus sinensis;228893
EUCGR;Archaeplastida;eudicots;rosids;Myrtales;Myrtaceae;Eucalyptus grandis;228894
GOSRA;Archaeplastida;eudicots;rosids;Malvales;Brassicaceae;Gossypium raimondii;228895
THECA;Archaeplastida;eudicots;rosids;Malvales;Malvaceae;Theobroma cacao;228896
AZAIN;Archaeplastida;eudicots;rosids;Sapindales;Meliaceae;Azadirachta indica;228897
AETAR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Volyocaceae;228898
ARALY;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Arabidopsis lyrata;228899
ARATH;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Arabidopsis thaliana;228900
BRAOL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Brassica oleracea;228901
BRARA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Brassica rapa;228902
CARPA;Archaeplastida;eudicots;rosids;Brassicales;Caricaceae;Carica papaya;228903
LEAAL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Leavenworthia alabamica;228904
SISIR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Sisymbrium irio;228905
TARHA;Archaeplastida;eudicots;rosids;Brassicales;Cleomaceae;Tarenaya hassleriana;228906
THEPA;Archaeplastida;eudicots;rosids;Brassicales;Solanacea;Thellungiella parvula;228907
EUTSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Eutrema salsugineum;228908
RAPSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Raphanus sativus;228909
ARAAL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Brassicaceae;228910
RAPRA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Raphanus raphanistrum;228911
BETVU;Archaeplastida;eudicots;stem rosids;Caryophyllales;Chenopodiaceae;Beta vulgaris;228912
BETVUBE;Archaeplastida;eudicots;stem rosids;Caryophyllales;Chenopodiaceae;Beta vulgaris;228913
BETVUBV;Archaeplastida;eudicots;stem rosids;Caryophyllales;Chenopodiaceae;Beta vulgaris;228914
BETVUUM;Archaeplastida;eudicots;stem rosids;Caryophyllales;Solanacea;Beta vulgaris;228915
BETVUYM;Archaeplastida;eudicots;stem rosids;Caryophyllales;Chenopodiaceae;Beta vulgaris;228916
BETVUYT;Archaeplastida;eudicots;stem rosids;Caryophyllales;Brassicaceae;Beta vulgaris;228917
CAJCA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Cajanus cajan;228918
CANSAFItr;Archaeplastida;eudicots;rosids;Rosales;Cannabaceae;Brassicaceae;228919
CANSACAtr;Archaeplastida;eudicots;rosids;Rosales;Cannabaceae;Cannabis sativa canSat3;228920
CANSA;Archaeplastida;eudicots;rosids;Rosales;Cannabaceae;Cannabis sativa;228921
CICAR;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Cicer arietinum;228922
CITLA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Citrullus lanatus;228923
CUCME;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis melo;228924
CUCSA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis sativus;228925
FRAVE;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Fragaria vesca;228926
GLYMA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Glycine max;228927
JATCU;Archaeplastida;eudicots;rosids;Malpighiales;Euphorbiaceae;Jatropha curcas;228928
LINUS;Archaeplastida;eudicots;rosids;Malpighiales;Linaceae;Brassicaceae;228929
LOTJA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Lotus japonicus;228930
MALDO;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Malus domestica;228931
