ACTCH;Archaeplastida;eudicots;asterids;Ericales;Actinidiaceae;Actinidia chinensis;3625
AEGTA;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Aegilops tauschii;37682
AETAR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Aethionema arabicum;228871
AMAHY;Archaeplastida;eudicots;stem rosids;Caryophyllales;Amaranthaceae;Amaranthus hypochondriacus;28502
AMBTR;Archaeplastida;Magnoliopsida;-;Amborellales;Amborellaceae;Amborella trichopoda;13333
ANTAG;Archaeplastida;Anthocerotopsida;-;Anthocerotales;Anthocerotaceae;Anthoceros agrestis;41834
AQUCO;Archaeplastida;eudicots;stem_eudicots;Ranunculales;Ranunculaceae;Aquilegia coerulea;218851
ARAAL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Arabis alpina;50452
ARALY;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Arabidopsis lyrata;59689
ARATH;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Arabidopsis thaliana;3702
AZAIN;Archaeplastida;eudicots;rosids;Sapindales;Meliaceae;Azadirachta indica;124943
AZOFIhc;Archaeplastida;Moniliformopses;Polypodiidae;Salviniales;Azollaceae;Azolla filiculoides;84609
BATPR;Archaeplastida;Chlorophyta;prasinophytes;Mamiellales;Bathycoccaceae;Bathycoccus prasinos;41875
BETVUEL;Archaeplastida;Streptophyta;-;Caryophyllales;Chenopodiaceae;Beta vulgaris;161934
BOEST;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Boechera stricta;72658
BRADI;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Brachypodium distachyon;15368
BRAOL;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Brassica oleracea;3712
BRARA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Brassica rapa;3711
BRAST;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Brachypodium stacei;1071399
CAJCA;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Cajanus cajan;3821
CALTU;Archaeplastida;Rhodophyta;Florideophyceae;Corallinales;Corallinaceae;Calliarthron tuberculosum;48942
CAMSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Camelina sativa;90675
CANSA;Archaeplastida;eudicots;rosids;Rosales;Cannabaceae;Cannabis sativa;3483
CAPANGL;Archaeplastida;eudicots;0;Solanales;Solanaceae;Capsicum annuum (spp. glabriusculum);165789
CAPANZU;Archaeplastida;eudicots;asterids;Solanales;Solanaceae;Capsicum annuum (spp. zunla);4072
CAPGR;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Capsella grandiflora;264402
CAPRU;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Capsella rubella;81985
CARPA;Archaeplastida;eudicots;rosids;Brassicales;Caricaceae;Carica papaya;3649
CERPUGG;Archaeplastida;Bryopsida;0;Pseudoditrichales;Ditrichaceae;Ceratodon purpureus;3225
CHABR;Archaeplastida;Streptophyta ZCC grade;Charophyceae;Charales;Characeae;Chara braunii;69332
CHAGLtr;Archaeplastida;Streptophyta ZCC grade;Coleochaetophyceae;Coleochaetales;Chaetosphaeridiaceae;Chaetosphaeridium globosum;96477
CHLAT;Archaeplastida;Streptophyta KCM grade;Chlorokybophyceae;Chlorokybales;Chlorokybaceae;Chlorokybus atmophyticus;3144
CHLRE;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Chlamydomonadaceae;Chlamydomonas reinhardtii;3055
CHLSP;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella sp. NC64A;2041167
CHLVU;Archaeplastida;Chlorophyta;Trebouxiophyceae;Chlorellales;Chlorellaceae;Chlorella vulgaris;3077
CHOCR;Archaeplastida;Rhodophyta;Florideophyceae;Gigartinales;Gigartinaceae;Chondrus crispus;2769
CICAR;Archaeplastida;eudicots;rosids;Fabales;Fabaceae;Cicer arietinum;3827
CITCL;Archaeplastida;eudicots;rosids;Sapindales;Rutaceae;Citrus clementina;85681
CITLA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Citrullus lanatus;3654
CITSI;Archaeplastida;eudicots;rosids;Sapindales;Rutaceae;Citrus sinensis;2711
COCSP;Archaeplastida;Chlorophyta;Trebouxiophyceae;Trebouxiophyceae incertae sedis;Coccomyxaceae;Coccomyxa subellipsoidea C-169;574566
COFCA;Archaeplastida;eudicots;asterids;Gentianales;Rubiaceae;Coffea canephora;49390
COLORtrCO;Archaeplastida;Streptophyta ZCC grade;Coleochaetophyceae;Coleochaetales;Coleochaetaceae;Coleochaete orbicularis;3124
COLSPtr;Archaeplastida;Streptophyta ZCC grade;Coleochaetophyceae;Coleochaetales;Coleochaetaceae;Coleochaete sp.;42110
CUCME;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis melo;3656
CUCSA;Archaeplastida;eudicots;rosids;Cucurbitales;Cucurbitaceae;Cucumis sativus;3659
CYACA;Archaeplastida;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidium caldarium;2771
CYAME;Archaeplastida;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Cyanidioschyzon merolae;45157
CYAPA;Archaeplastida;Glaucophyta;0;Cyanophoraceae;Cyanophora;Cyanophora paradoxa;2762
DUNSA;Archaeplastida;Chlorophyta;Chlorophyceae;Chlamydomonadales;Dunaliellaceae;Dunaliella salina;3046
ELAGU;Archaeplastida;Liliopsida;commelinids;Arecales;Arecaceae;Elaeis guineensis;51953
ERATE;Archaeplastida;Liliopsida;commelinids;Poales;Poaceae;Eragrostis tef;110835
EUCGR;Archaeplastida;eudicots;rosids;Myrtales;Myrtaceae;Eucalyptus grandis;71139
EUTSA;Archaeplastida;eudicots;rosids;Brassicales;Brassicaceae;Eutrema salsugineum;72664
FRAVE;Archaeplastida;eudicots;rosids;Rosales;Rosaceae;Fragaria vesca;57918
FUNHY15tr;Archaeplastida;Bryopsida;Funariidae;Funariales;Funariaceae;Funaria hygrometrica;29583
GALPH;Archaeplastida;Rhodophyta;Bangiophyceae;Cyanidiales;Cyanidiaceae;Galdieria phlegrea;1389228
