5letter code	kingdom/super group	clade/phylum	supergroup2	order	family	scientific name	synonym used for letter code	taxID from NCBI	data source	genome version	Pubmed ID paper	#proteins	# organellar proteins	# mitochondrium proteins 	# plastid proteins	# plasmid proteins	isoforms available	number of isoforms	date added to database	date updated/checked	URL source	URL working?	non-URL source	publicly available	source mitochondrial sequences	mt-URL working?	source of plastid sequences	pt-URL working?	notes	numer of plasmids	plasmid sources working?	plasmid source 01	plasmid source 02	plasmid source 03	plasmid source 04	plasmid source 05	plasmid source 06
DICDI	Amoebozoa	Mycetozoa	-	Dictyosteliales	Dictyosteliida	Dictyostelium discoideum	-	44689	genome	?	15875012	13315	48	42	0	6	no	0	29/10/2010	26/05/2020	http://dictybase.org/db/cgi-bin/dictyBase/download/download.pl?area=blast_databases&ID=dicty_primary_protein.gz	yes		yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_000895.1	yes				1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_001889.1					
DICPU	Amoebozoa	Mycetozoa	-	-	Dictyosteliida	Dictyostelium purpureum	-	5786	genome	?	-	12410	0	0	0	0	no	0	29/10/2010	26/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/715/GCF_000190715.1_v1.0/GCF_000190715.1_v1.0_protein.faa.gz	no		yes													
ENTHI	Amoebozoa	Archamoebae	-	-	Entamoebidae	Entamoeba histolytica str. HM-1 IMSS	-	294381	genome	?	-	8306	0	0	0	0	no	0	12/01/2009	26/05/2020	http://amoebadb.org/common/downloads/release-2.0/EhistolyticaHM1IMSS/fasta/data/AmoebaDB-2.0_EhistolyticaHM1IMSS_AnnotatedProteins.fasta	yes		yes													
THETR	Apusozoa	Apusozoa	-	Apusozoa	Apusomonadidae	Thecamonas trahens	-	529818	genome	1	-	10544	0	0	0	0	yes	83	29/03/2015	26/05/2020	https://genome.jgi.doe.gov/portal/IMG_2507525035/IMG_2507525035.info.html	yes		yes													
AERPE	archaea	Crenarchaeota	-	Desulfurococcales	Desulfurococcaceae	Aeropyrum pernix K1	-	272557	genome	?	-	1700	0	0	0	0	no	0	05/05/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/125/GCF_000011125.1_ASM1112v1/GCF_000011125.1_ASM1112v1_protein.faa.gz	yes		yes													
ARCFU	archaea	Euryarchaeota	-	Archaeoglobales	Archaeoglobaceae	Archaeoglobus fulgidus DSM 4304	-	224325	genome	?	-	2420	0	0	0	0	no	0	05/05/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/665/GCF_000008665.1_ASM866v1/GCF_000008665.1_ASM866v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Archaeoglobus fulgidus DSM 4304)								
CANKO	archaea	Candidatus Korarchaeota	-	-	-	Candidatus Korarchaeum cryptofilum OPF8	-	374847	genome	?	-	1801	0	0	0	0	no	0	26/05/2013	05/06/2020	https://www.ncbi.nlm.nih.gov/assembly/GCF_003948265.1	yes		yes					different or merged accessions? Stick to old one (Candidatus Korarchaeum cryptofilum OPF8)								
HALSP	archaea	Euryarchaeota	-	Halobacteriales	Halobacteriaceae	Halobacterium sp. NRC-1	-	64091	genome			2385	547	0	0	547			07/06/2010	05/06/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/799/605/GCF_004799605.1_ASM479960v1/GCF_004799605.1_ASM479960v1_protein.faa.gz	yes							different or merged accessions? Stick to old one (Halobacterium sp. NRC-1)	2	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_001869.1	http://www.ncbi.nlm.nih.gov/nuccore/NC_002608.1				
METCU	archaea	Crenarchaeota	-	Sulfolobales	Sulfolobaceae	Metallosphaera cuprina Ar 4	-	1006006	genome	?	-	2029	0	0	0	0	no	0	26/05/2013	12/05/2020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/204/925/GCF_000204925.1_ASM20492v1/GCF_000204925.1_ASM20492v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Metallosphaera cuprina Ar-4)								
METJA	archaea	Euryarchaeota	-	Methanococcales	Methanocaldococcaceae	Methanocaldococcus jannaschii DSM 2661	-	243232	genome	?	-	1771	57	0	0	57	no	0	28/07/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/665/GCF_000091665.1_ASM9166v1/GCF_000091665.1_ASM9166v1_protein.faa.gz	yes		yes						2	yes	https://www.ncbi.nlm.nih.gov/nuccore/NC_001732.1	https://www.ncbi.nlm.nih.gov/nuccore/NC_001733.1				
METAC	archaea	Euryarchaeota	-	Methanosarcinales	Methanosarcinaceae	Methanosarcina acetivorans C2A	-	188937	genome	?	-	4540	4	0	0	4	no	0	29/06/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/345/GCF_000007345.1_ASM734v1/GCF_000007345.1_ASM734v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Methanosarcina acetivorans C2A)	1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_002097.1					
NANEQ	archaea	Nanoarchaeota	-	-	-	Nanoarchaeum equitans Kin4-M	-	228908	genome	?	-	540	0	0	0	0	no	0	15/06/2010	12/05/2020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/008/085/GCA_000008085.1_ASM808v1/GCA_000008085.1_ASM808v1_protein.faa.gz	yes		yes													
PYRAE	archaea	Crenarchaeota	-	Thermoproteales	Thermoproteaceae	Pyrobaculum aerophilum str. IM2	-	178306	genome	?	-	2602	0	0	0	0	no	0	15/06/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/225/GCF_000007225.1_ASM722v1/GCF_000007225.1_ASM722v1_protein.faa.gz	yes		yes													
PYRAB	archaea	Euryarchaeota	-	Thermococcales	Pyrococcus abyssi	Pyrococcus abyssi GE5	-	272844	genome			1868	2	0	0	2			15/06/2010	05/06/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/935/GCF_000195935.2_ASM19593v2/GCF_000195935.2_ASM19593v2_protein.faa.gz	yes							different or merged accessions? Stick to old one (Pyrococcus abyssi GE5)	1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_001773.1					
PYRFU	archaea	Euryarchaeota	-	Thermococcales	Thermococcaceae	Pyrococcus furiosus DSM 3638	-	186497	genome	?	-	2122	0	0	0	0	no	0	05/05/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/305/GCF_000007305.1_ASM730v1/GCF_000007305.1_ASM730v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Pyrococcus furiosus DSM 3638)								
SULSO	archaea	Crenarchaeota	-	Sulfolobales	Sulfolobaceae	Sulfolobus solfataricus P2	-	273057	genome			2847	8	0	0	8			09/06/2010	05/06/2020	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/079/115/GCF_900079115.1_SSOP1/GCF_900079115.1_SSOP1_protein.faa.gz	yes							different or merged accessions? Stick to old one (Sulfolobus solfataricus P2)	1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_013777.1					
THEAC	archaea	Euryarchaeota	-	Thermoplasmatales	Thermoplasmataceae	Thermoplasma acidophilum DSM 1728	-	273075	genome	?	-	1484	18	0	0	18	no	0	15/06/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/915/GCF_000195915.1_ASM19591v1/GCF_000195915.1_ASM19591v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Thermoplasma acidophilum DSM 1728)	1	yes	http://www.ncbi.nlm.nih.gov/nuccore/NC_008318.1					
THEVO	archaea	Euryarchaeota	-	Thermoplasmatales	Thermoplasmataceae	Thermoplasma volcanium GSS1	-	273116	genome	?	-	1501	0	0	0	0	no	0	09/06/2010	12/05/2020	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/011/185/GCF_000011185.1_ASM1118v1/GCF_000011185.1_ASM1118v1_protein.faa.gz	yes		yes					different or merged accessions? Stick to old one (Thermoplasma volcanium GSS1)								
